data,score,city,comment,nick
2018-08-20,4,张家界,感觉还行，还是一样的脑洞大开，看得挺嗨皮的，就是有些地方有点尬转折，比如真心话大冒险那块，突然就抒情了，有些无语,瓶子5866
2018-08-20,1,郑州,可以说是很失望了……,八千鹤
2018-08-20,5,深圳,就算再烂，也是我的青春啊,逃离卡
2018-08-20,4.5,西安,不管怎样，结局在我们心里，十年之约……,静听雨的诺言
2018-08-20,3.5,营口,没想象中那么好,邻家小哥爱摩卡
2018-08-20,4,余姚,冲着名字去看的,石头668800
2018-08-20,1.5,苏州,爱情公寓的幌子，拍的片子,无梦生649
2018-08-20,5,鞍山,我觉得很不错啊，这些人们说什么拿情怀骗钱跟本不存在啊，各种笑点很爱情公寓啊，各种cp的组合也很get到我啊。真不明白你们怎么想的，盗墓题材怎么了，这是大电影唉，就不能穿越一回？难道你们的情怀只在那套屋子里吗？你想看的不就是他们在演戏，互相调侃互相逗吗。公寓里原来不是也有很多穿越吗。盗梦空间，生活没有如果，决战紫禁之巅。怎么变成盗了个墓就接受不了了？总说这很爱情公寓无关，难道你没看见他们在公寓吃早餐，没看见他们在沙发打游戏，没看见曾小贤在直播间，没看见胡一菲在公寓外湖边散步，没看见结束后的八个彩蛋吗？真不知道这样给差评的是真情怀，还是想拿情怀说事。我看了全场和我都在笑，最后的等不起我也哭了。足够,尛尐賤賎
2018-08-20,4,淄博,还可以吧，不如想象中的好,Congratulate郭
2018-08-20,1.5,上海,不怎么样的…,exe897757304
2018-08-20,5,郑州,太喜欢了，支持,aDz364046904
2018-08-20,5,济南,还是很感动。,慕糖糖糖
2018-08-20,1,南昌,。。差点睡着,忒可笑
2018-08-20,3,深圳,主要还是看的情怀,El_viejo
2018-08-20,5,南通,还不错，比想象中的要好,wword
2018-08-20,1.5,三亚,我还能说什么,飞起的吃货
2018-08-20,2.5,广州,陪了我快10年的人员，你们本来就是胡闹才相聚在一起的，但这电影里你们都在干嘛？,VjB288622926
2018-08-20,0.5,济南,烂了啊，烂了啊,xuxiao1121
2018-08-20,2,沈阳,一集盗墓笔记 还可以吧！,巨NE怪
2018-08-20,5,南通,好看的不得了,dGM888322293
2018-08-20,3.5,锦州,还可以挺不错的不知道为什么那么多差评，电影又不是电视剧,潮Pluvial宇
2018-08-20,1.5,唐山,看不懂是什么想看我心中的爱情公寓,Potato。332
2018-08-20,3.5,福州,还好。。。。。。。。。。。。。,方FSQ
2018-08-20,3,盐城,不怎么好看。,Oys223453611
2018-08-20,5,瑞安,开头以为走错场了，后面有点小感动,妮ni啊
2018-08-20,0.5,常德,不能骗人呀！,朱志熊
2018-08-20,4.5,抚州,还行吧。。。。,gCa847886931
2018-08-20,0.5,哈尔滨,最差的电影 厉害,孟啊梦
2018-08-20,5,临沂,好看的电影啊,JXZ975214443
2018-08-20,3,马鞍山,还行吧 觉得不是很好看,小王锦
2018-08-20,5,佛山,好看!不过可惜没有关谷,抹沫殇
2018-08-20,5,亳州,爱情公寓和盗墓笔记都是喜欢的元素，有欢笑有感动足够了,yXT674395446
2018-08-20,2.5,广州,全是广告。。。,Kau1122
2018-08-20,0.5,咸阳,这演的是什么呀？太烂。,rQW248041761
2018-08-20,4,贵阳,故事的开头我没料到，盗墓情节穿插整部影片。没有想到和预料的不大一-样，有点小小的失落。说是情怀吧，我们的青春，我们每个人不都一样的吗，就像影片结尾曾小贤说的一样，我们总是羡慕别人故事里的主角，天生自带光环。最后结尾彩蛋爱5coimg soon给我一点点小期待 。,熙静静哟
2018-08-20,5,珠海,很好看～找回青春,lbW494213467
2018-08-20,5,呼和浩特,还行，不是特别满意，刚一进去以为做错地方了,MCn786312184
2018-08-20,5,上海,回忆啊青春啊,源瑜你
2018-08-20,0.5,成都,个人觉得十年前的爱情公寓电视剧版才是我们最终的陪伴 而爱情公寓电影版就是拿我们的情怀出来圈钱的  再见🤗,汗236
2018-08-20,1,郑州,无厘头搞笑，爱情公寓还非得跟盗墓笔记联系到一块！编剧也太脑抽了吧！,理性人生8
2018-08-20,3,太原,爱情公寓的人演的盗墓笔记,KJI422576617
2018-08-20,3,深圳,消费粉丝啊啊,q13410305517
2018-08-20,5,敦化,很喜欢，陪伴是无价的,William夫人Anna
2018-08-20,0.5,台山,看的我都快睡着了的,qcc11512195
2018-08-20,0.5,连云港,一分都多了啊,其实你很美98
2018-08-20,5,通化,看的比较晚，网上各种吐槽，早已经让我免疫了，之前的剧情没有太认真看，十年粉丝，彩蛋足够了，未完待续。,lrD373973160
2018-08-20,5,西安,刚开始我觉得我进错了,啾啾秋秋酱呦
2018-08-20,0.5,北京,很烂，烂的无以复加。,王彬宏1
2018-08-20,5,武汉,盗笔加公寓的结合,老刀6
2018-08-19,4.5,潜江,我觉得好，加油！,mcI605217691
2018-08-19,5,武汉,还可以吧 但是跟想想的剧情不太一样,冬桎
2018-08-19,4,乌鲁木齐,唉，失望，，,quanwen521
2018-08-19,5,杭州,网上很多人喷这部电影，但最后还是决定去看一下，怎么说呢，其实还是挺感动的，爱情公寓对我来说，应该是那一群小伙伴，而不是那两间房间。很心疼悠悠这个角色，结局的机票，不知道爱5还会不会有悠悠……总之呢，希望爱情公寓还能走下去……抄袭不对，但错误可以纠正，希望主创们也能认识到错误所在，改正缺点，带给观众更用心的快乐。,aRp212042493
2018-08-19,5,苏州,太好看了！！,XEw291824421
2018-08-19,2,郑州,一般般吧 没啥意思,江川美奈子
2018-08-19,4.5,绥化,超好看的，可以在看一场。,昆迪同学
2018-08-19,1,南阳,"本来都说烂 我非是不听呢 
偏要看偏要看
果然是…内心毫无波澜甚至有些瞌睡",阿倩呦
2018-08-19,5,上海,还可以理科理科,君，你在何方
2018-08-19,4,太原,虽然不是正片，但能再看看他们还是挺开心的,IiB849115494
2018-08-19,4.5,衡阳,好看，喜剧。,旧忆＆
2018-08-19,4,青岛,尽管没有关谷 但是整个片子也给我暖暖的感觉 感觉一家人都还在 尤其最后彩蛋 唐悠悠说的话  还有在戏里她一想起关谷时的情绪   虽然是爱情公寓版的盗墓笔记 但是也因为是盗墓笔记 重重危险  才让他们能互相表明心意  这个挺好的 但希望爱5能有所进展 这几对,Eak460339309
2018-08-19,4,福州,还是蛮不错的,AqF876834145
2018-08-19,5,苏州,还是不错的呀,夜凉墨染月
2018-08-20,4.5,诸暨,爱情公寓♡♡,yhU550213650
2018-08-20,1,北京,难受😣看的我中途差点儿溜场 只吐槽电影 不吐槽演员 很失望 好好的一个爱情公寓看成了盗墓笔记。。,喵喵爱闹闹～
2018-08-20,4.5,河池,非常好看，我喜欢,航航8071
2018-08-20,3.5,济南,还好 没有很失望 笑点还是有的期待5,雅Ya最美
2018-08-20,5,哈尔滨,还不错    剧情一般,mgH744440528
2018-08-20,5,泰安,我期待爱5。,Iyw254269975
2018-08-20,1.5,南京,我还以为这部电影是盗墓笔记😂，怀疑走错片场，让人失望,夜￡紫筱
2018-08-20,5,普宁,好看搞笑哈哈哈,Jones879
2018-08-20,5,海口,一如既往的支持爱情公寓,OuW366648855
2018-08-20,5,大理,"我觉得特别好，全剧有笑点也有泪点
爱情公寓也真正拥有了爱情
爱情公寓是我们的青春，值得去看",SDs420354067
2018-08-20,2.5,建德,一般不大好看,Cxl539567636
2018-08-20,5,秦皇岛,看之前朋友就说过是部烂片，网上口碑也很差，但是还是来了，毕竟爱情公寓陪伴了我的整个青春，全是来缅怀一下吧，以后爱情公寓再出电影的话，应该不会去看了，这部片子完全是在利用观众的最后一点情分，我觉得我和爱情公寓的情分，到此为止了,YangY凡
2018-08-20,5,昆山,开始以为走错片场了，后面还好，是爱情公寓的一贯风格，有哭有笑,UST639919329
2018-08-20,3,无锡,还是挺搞笑的,浅沫记忆～548
2018-08-20,2,安康,什么玩意，盗墓公寓啊,浮生痴妄
2018-08-20,0.5,乌鲁木齐,烂超烂很烂 烂,Emran705
2018-08-20,5,浏阳,权当买个情怀,Hna520674628
2018-08-20,3.5,邵阳,还是可以的。,panerY0717
2018-08-20,5,许昌,虽然剧情有点混乱，但最后彩蛋提到关谷时候真的是好感动，爱情公寓，谢谢你们！,GalenY.
2018-08-20,0.5,广州,不行啊，这片,Cook.949
